,peaking time (s),resolution (s.p.e.)
0,8.800000000000001e-08,0.12474297654281462
1,1.04e-07,0.11853835533705348
2,1.2000000000000002e-07,0.11409775541855226
3,1.36e-07,0.11789342805816672
4,1.52e-07,0.11495760671189305
5,1.72e-07,0.10658107486634391
6,1.84e-07,0.10822201285423323
7,2.2e-07,0.11349839593749865
8,2.5200000000000003e-07,0.11411481860963045
9,2.84e-07,0.121458380245602
10,3.32e-07,0.1322054034309159
11,4.08e-07,0.14854499875605448
12,5.48e-07,0.18427972259917383
13,6.16e-07,0.20191229267944882
14,6.800000000000001e-07,0.2227343328696856
15,7.680000000000001e-07,0.2823844554600169
16,8.680000000000001e-07,0.32258412472019854
17,1.156e-06,0.3992533647265768
